date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:52:10	58705/58705	---M--	200	added ('OK')	text/html	etag:%22Nk/lV76vNMcec4xqjHHH2cwyeN0=%22	https://learn.microsoft.com/en-us/aspnet/core/mvc/overview?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/mvc/overview553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:12	155054/155054	---M--	200	added ('OK')	text/html	etag:%22mNDlI2ZS3AqM7985yfcEcTjT43A=%22	https://learn.microsoft.com/en-us/aspnet/core/tutorials/first-mvc-app/start-mvc?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/tutorials/first-mvc-app/start-mvc553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:12	186839/186839	---M--	200	added ('OK')	text/html	etag:%22B2nh47xrQorApO/jlEcfgNLOQG0=%22	https://learn.microsoft.com/en-us/aspnet/core/razor-pages/?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/razor-pages/index553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:13	77702/77702	---M--	200	added ('OK')	text/html	etag:%22hNiL0ZK+g6Xs5xd9c2tx8FLXHm4=%22	https://learn.microsoft.com/en-us/aspnet/core/mvc/views/overview?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/mvc/views/overview553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:13	51930/51930	---M--	200	added ('OK')	text/html	etag:%22Vs485MlBFEajT7nP1q/vesuc8CA=%22	https://learn.microsoft.com/en-us/aspnet/core/mvc/controllers/actions?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/mvc/controllers/actions553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:15	225062/225062	---M--	200	added ('OK')	text/html	etag:%22nPPbVfSGaDOFhgn4OZKar3BO3PY=%22	https://learn.microsoft.com/en-us/aspnet/core/mvc/controllers/routing?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/mvc/controllers/routing553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:16	146590/146590	---M--	200	added ('OK')	text/html	etag:%22X+0UOU1eQeKan+8T6ChCNrmcivo=%22	https://learn.microsoft.com/en-us/aspnet/core/blazor/components/data-binding?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/blazor/components/data-binding553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:17	206524/206524	---M--	200	added ('OK')	text/html	etag:%22PgM+mcv+miDbzYjjnf3tD5A1YrY=%22	https://learn.microsoft.com/en-us/aspnet/core/data/ef-rp/intro?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/data/ef-rp/intro553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:18	137155/137155	---M--	200	added ('OK')	text/html	etag:%22FHewQYLSsDa+aQG8wyqa8RCnmqY=%22	https://learn.microsoft.com/en-us/aspnet/core/data/ef-mvc/intro?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/data/ef-mvc/intro553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:18	45788/45788	---M--	200	added ('OK')	text/html	etag:%22gV3n8EBgGcSa2zhY+Ay7NqjGABs=%22	https://learn.microsoft.com/en-us/aspnet/core/signalr/introduction?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/signalr/introduction553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
